No.;BLITAR
1;30
2;100
3;20
4;40
5;30
6;30
7;50
8;40
9;30
10;30
11;70
12;50
13;30
14;40
15;60
16;70
17;40
18;30
19;30
20;30
21;30
22;70
23;30
24;30
25;30
26;20
27;30
28;20
29;20
30;30
31;40
32;40
33;50
34;80
35;40
36;70
37;30
38;30
39;20
40;70
41;30
42;30
43;30
44;40
45;70
46;30
47;80
48;30
49;30
50;40
51;30
52;108
53;30
54;80
55;30
56;36
57;52
58;20
59;40
60;26
61;88
62;42
63;35
64;45
65;78
66;110
67;20
68;10
69;30
70;20
71;20
72;90
73;20
74;20
75;30
76;20
77;30
78;20
79;20
80;30
81;20
82;20
83;48
84;120
85;32
86;86
87;12
88;21
89;12
90;100
91;20
92;30
93;30
94;50
95;100
96;30
97;100
98;48
99;30
100;50
101;20
102;109
103;10
104;90
105;30
106;30
107;62
108;30
109;60
110;40
111;70
112;36
113;26
114;50
115;120
116;75
117;30
118;30
119;30
120;30
121;20
122;70
123;20
124;20
125;20
126;20
127;30
128;20
129;20
130;20
131;50
132;40
133;59
134;85
135;62
136;85
137;30
138;18
139;20
140;80
141;20
142;20
143;20
144;30
145;136
146;20
147;80
148;20
149;20
150;50
151;20
152;108
153;20
154;100
155;40
156;20
157;50
158;40
159;20
160;22
161;50
162;30
163;20
164;60
165;80
166;50
167;50
168;50
169;50
170;30
171;20
172;90
173;30
174;60
175;30
176;20
177;30
178;30
179;20
180;30
181;20
182;40
183;50
184;105
185;50
186;94
187;20
188;30
189;20
190;100
191;30
192;20
193;20
194;40
195;90
196;20
197;60
198;30
199;30
200;50
